HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00253854; Desligado; False; IP; Windows 7 Enterprise; petrobras.biz; CN=MI00253854,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00259922; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00259922,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00285142; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00285142,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00259801; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00259801,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00262063; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00262063,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00216398; Inexistente; -; -; -; -; -
MI00283651; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283651,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00273731; Inexistente; -; -; -; -; -
MI00256184; Inexistente; -; -; -; -; -
MI00273219; Inexistente; -; -; -; -; -
MI00280487; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00280487,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00048963; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00048963,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00238153; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00238153,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00243064; Inexistente; -; -; -; -; -
MI00252110; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00252110,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00290184; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00290184,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00268169; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00268169,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00257844; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00257844,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00282865; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00282865,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00205662; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00205662,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00211913; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00211913,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00205543; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00205543,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00036133; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00036133,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00295191; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00295191,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00292800; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292800,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00292245; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292245,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00305870; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00305870,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI196111; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI196111,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00307392; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00307392,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00212021; Inexistente; -; -; -; -; -
MI00288918; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00288918,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00291383; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00291383,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00045155; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00045155,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00289629; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289629,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00296320; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00296320,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00313972; Inexistente; -; -; -; -; -
MI00314010; Inexistente; -; -; -; -; -
MI00268237; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00268237,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00280604; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00280604,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00049979; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00049979,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00316108; Inexistente; -; -; -; -; -
ES00005654; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00005654,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MV00002332; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MV00002332,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MV00002395; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MV00002395,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MV00001940; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MV00001940,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00074552; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00074552,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00286069; Ligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=MI00286069,OU=Teste-W10,OU=LABTIC,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00313145; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00313145,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00278233; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00278233,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00290876; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00290876,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00065079; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00065079,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
ES00008821; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008821,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00218277; Inexistente; -; -; -; -; -
MI00283446; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283446,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00285337; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00285337,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00283593; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283593,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00008802; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008802,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00305058; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00305058,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00283167; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283167,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00290721; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00290721,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00294522; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294522,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00063411; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00063411,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00068232; Inexistente; -; -; -; -; -
MI00280308; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00280308,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00250908; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00250908,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00289374; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289374,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00060208; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00060208,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00198951; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00198951,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
N000064212; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=N000064212,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00294202; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294202,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00059158; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00059158,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00256816; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00256816,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00282247; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00282247,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00007506; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00007506,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00303267; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00303267,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00208818; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00208818,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00289123; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289123,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00005327; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00005327,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00007343; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00007343,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00290397; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00290397,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00252054; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00252054,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00217691; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00217691,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00059426; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00059426,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00049206; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00049206,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00287900; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00287900,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00259884; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00259884,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00250879; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00250879,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00047296; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00047296,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI195933; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI195933,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00318951; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00318951,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00269185; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00269185,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00309187; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00309187,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00295022; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00295022,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00284943; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00284943,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00314914; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00314914,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00289383; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289383,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00312039; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=MI00312039,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00205418; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00205418,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00303524; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00303524,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00259639; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00259639,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI181293; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI181293,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315773; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00315773,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI196331; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI196331,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00294721; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294721,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00318141; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00318141,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00303447; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00303447,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00318191; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00318191,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00312122; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00312122,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00296058; Inexistente; -; -; -; -; -
MI00292878; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292878,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00005341; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00005341,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00250894; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00250894,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00005376; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00005376,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00312072; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00312072,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00284310; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00284310,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00238442; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00238442,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319056; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00319056,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00251990; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00251990,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315750; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00315750,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00273547; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00273547,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00196316; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00196316,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00294985; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294985,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315718; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00315718,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00074348; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00074348,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00318178; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00318178,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI186791; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI186791,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00307183; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00307183,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00284269; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00284269,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00312264; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00312264,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00260099; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00260099,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00254601; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00254601,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00050876; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00050876,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00054612; Inexistente; -; -; -; -; -
MI00275171; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00275171,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00064809; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00064809,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00047263; Inexistente; -; -; -; -; -
MI00206693; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00206693,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315662; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00315662,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00071900; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00071900,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00275498; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00275498,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00063823; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00063823,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00314693; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00314693,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00204627; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00204627,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00314846; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00314846,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00312078; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00312078,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319701; Inexistente; -; -; -; -; -
MI00260255; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00260255,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00253531; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00253531,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00074001; Inexistente; -; -; -; -; -
MI00315875; Inexistente; -; -; -; -; -
ES00006298; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00006298,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319293; Inexistente; -; -; -; -; -
MI00319628; Inexistente; -; -; -; -; -
MI00319717; Inexistente; -; -; -; -; -
MI00319718; Inexistente; -; -; -; -; -
MI00319656; Inexistente; -; -; -; -; -
MI00319577; Inexistente; -; -; -; -; -
MI00319589; Inexistente; -; -; -; -; -
MI00292394; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292394,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319631; Inexistente; -; -; -; -; -
MI00258196; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00258196,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00252544; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00252544,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319596; Inexistente; -; -; -; -; -
MI00286075; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00286075,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00292748; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292748,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00296896; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00296896,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00287907; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00287907,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319683; Inexistente; -; -; -; -; -
MI00315886; Inexistente; -; -; -; -; -
MI00293101; Inexistente; -; -; -; -; -
MI00258043; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00258043,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00280163; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00280163,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00294789; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294789,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00292403; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292403,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00283955; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283955,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00261685; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00261685,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00314931; Inexistente; -; -; -; -; -
MI186024; Inexistente; -; -; -; -; -
MI00275465; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00275465,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319633; Inexistente; -; -; -; -; -
MI00282160; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00282160,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES00008916; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008916,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00313977; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=MI00313977,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
